enlace,me_gusta,Publicacion,descripcion,ID_Comentario,Usuario,Texto_Comentario,Cantidad_Likes,Tema_Principal,Sentimiento,Subtema_o_Keyword,Es_Respuesta_A
https://www.instagram.com/p/DO__AHgD5cX/,8.107,1,"🏛️✨ La UNMSM lidera como la primera universidad pública del Perú, según el VI Informe Bienal de Sunedu . Reconocida en rankings internacionales y número 1 en empleabilidad, la Decana de América consolida su excelencia académica y prestigio histórico.",C1,7 sem,y en el ranking internacional?,20,Ranking,Neutral,Ranking Internacional,-
,,1,,C1.1,7 sem,Igual. Esta bien.,7,Ranking,Neutral,Confirmación,C1
,,1,,C1.2,yamelenriquez,"hasta donde sé, ya no figura",5,Ranking,Negativo,Ranking Internacional,C1
,,1,,C2,7 sem,Y en el ranking nacional?,13,Ranking,Neutral,Ranking Nacional,-
,,1,,C2.1,sebastian74_ca,Subjetivo. Un ranking oficial le daría algo de objetividad.,1,Ranking,Neutral,Critica a Rankings,C2
,,1,,C2.2,7 sem,"Con revisar anteriores rankings basta para tener una noción de lo que podría ser uno general. Un promedio de primeros puestos para la PUCP y uno de terceros para UNMS, por ejemplo.",1,Ranking,Neutral,Comparación PUCP-UNMSM,C2
,,1,,C2.3,sebastian74_ca,Sería bacán que la Sunedu lo formalice.,0,Gestión,Positivo,Propuesta Sunedu,C2
,,1,,C3,7 sem,Nro 1 a pesar de Jerí 🙌,11,Gestión,Mixto,Critica a Rectoría,-
,,1,,C3.1,cesarfernand.o_uu,JAJAJA,0,Gestión,Neutral,Reacción,C3
,,1,,C4,7 sem,"Siempre por sus alumnos, nunca por sus autoridades ni su gestion👏",33,Gestión,Mixto,Reconocimiento Alumnos,-
,,1,,C5,7 sem,"A pesar de la gestión pública, siempre San Marquina de corazón ❤️",1,Gestión,Mixto,Amor a la Alma Mater,-
,,1,,C6,7 sem,Orgulloso de nuestra alma mater ❤️,1,Orgullo,Positivo,Orgullo Institucional,-
,,1,,C7,7 sem,No me sorprende 🔥,1,Logro,Positivo,Expectativas Cumplidas,-
,,1,,C8,7 sem,Lo mejor de lo peor 😍😍,2,-,Mixto,Ironía/Sarcasmo,-
,,1,,C9,violettttttttttt.18,Ya pero que nos devuelvan el acceso a Scopus,76,Recursos,Negativo,Problema Scopus,-
